"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","748","SWZ","Eswatini","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","2060"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","752","SWE","Sweden","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","189734.13456"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","756","CHE","Switzerland","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","380193.736836"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","760","SYR","Syrian Arab Republic","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","739.163"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","762","TJK","Tajikistan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","2149.6"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","764","THA","Thailand","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","272006.08"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","768","TGO","Togo","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","1349.970405"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","772","TKL","Tokelau","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","0.175033"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","776","TON","Tonga","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","16.3"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","780","TTO","Trinidad and Tobago","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","8619"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","784","ARE","United Arab Emirates","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","425159.906"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","788","TUN","Tunisia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","16688.91073"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","792","TUR","Türkiye","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","225217.775514"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","795","TKM","Turkmenistan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","9211.57"
